LONG	LAT		H
-64.8207	9.4608		38.5451505017
-63.7972	9.7438		43.8795986622
-67.6513	12.9915		27.3913043478
-61.8256	7.3429		35.5351170569
-64.0731	7.6508		39.0468227425
-65.418	11.8499		22.4581939799
-63.8264	10.1576		33.4280936455
-63.7699	11.7515		20.4849498328
-62.6685	11.9992		21.8394648829
-61.6392	6.7126		36.9397993311
-66.8342	9.6502		38.6889632107
-67.3968	9.8872		34.6321070234
-65.7719	8.985		40.3511705686
-67.3833	9.3555		35.4347826087
-65.1881	7.4169		39.0468227425
-66.491	13.9497		18.2006688963
-64.2944	10.9455		35.5585284281
-62.7444	8.9876		42.491638796
-66.8426	6.5861		37.143812709
-62.655	8.0344		44.8494983278
-65.22	10.6796		23.4280936455
-66.5009	11.2493		19.3712374582
-63.625	8.5019		45.5685618729
-66.4361	8.9485		39.9498327759
-67.3496	11.2707		19.9331103679
-63.0575	9.3596		42.5418060201
-64.9313	12.7209		15.8428093645
-64.2942	9.5825		41.1204013378
-66.2544	8.1365		51.1839464883
-67.3865	8.8571		42.1036789298
-62.0655	7.8605		35.1003344482
-65.1951	8.3597		50.1839464883
-65.9443	8.3276		51.0735785953
-64.2946	8.3274		51.3043478261
-66.3219	8.5127		44.1806020067
